,title,org,desc
199,Bouquet of Care- Glenview,JourneyCare,"Who is JourneyCare? The largest nonprofit provider of palliative, and supportive care in Illinois, JourneyCare serves nearly 4,000 adult..."
200,Hospice CareCenter Volunteer - Glenview,JourneyCare,Volunteer in your community and set your own schedule! JourneyCare is looking for volunteers to serve at our Hospice CareCenter in...
201,Office Receptionist- Lombard,JourneyCare,"Who is JourneyCare? The largest nonprofit provider of palliative, and supportive care in Illinois, JourneyCare serves nearly 3,000 adult..."
202,Team Care Coordinator Assist- Glenview,JourneyCare,"Who is JourneyCare? The largest nonprofit provider of palliative, and supportive care in Illinois, JourneyCare serves nearly 4,000 adult..."
203,Front Desk Receptionist- Glenview,JourneyCare,"Who is JourneyCare? The largest nonprofit provider of palliative, and supportive care in Illinois, JourneyCare serves nearly 4,000 adult..."
204,Hospice Care Companion- Western Suburbs,JourneyCare,No experience necessary! Volunteer in your community and set your own schedule! JourneyCare's Care Companion volunteers support hospice...
205,Hospice Care Companion- Lombard Area,JourneyCare,Volunteer in your community and set your own schedule! JourneyCare's Care Companion volunteers support hospice patients and families in...
206,Utilization Management - Behavioral Health - Clerical,Ingalls Hospital,The volunteer is a part of the hospital service team. You will work closely with and establish positive customer rapport with hospital...
207,Greeter/Information Desk-Rehab,Ingalls Hospital,"The volunteer is a part of the hospital service team. You will work closely with patients, families, hospital staff, other volunteers and..."
208,Surgical Waiting Volunteer,Ingalls Hospital,"The volunteer is a part of the hospital service team. You will work closely with and establish positive customer rapport with patients,..."
209,Flower Delivery Volunteer - Friday's,Ingalls Hospital,"The Volunteer is a part of the hospital service team. You will work closely with patients, families, hospital staff, other volunteers and..."
210,Human Resources - file clerk,Ingalls Hospital,"Under the direct supervision of the Coordinator of Human Resources, the volunteer is responsible for adding material to hard copy files..."
211,Tray Favors,Ingalls Hospital,"The Volunteer is a part of the hospital service team. You will work closely with hospital staff, other volunteers and visitors in a..."
212,Main Information Desk Escort/Ambassador,Ingalls Hospital,"Under the direct supervision of the Manager of Volunteer Services, the Main Information Desk Escort/Ambassador is responsible for..."
213,WANTED: An individual living with mental illness looking to make a difference for...,NAMI COOK COUNTY NORTH SUBURBAN,Balance for Success Group is the first and third Tuesday of each month from 7-8:30pm at Winnetka Congregational Church in Winnetka. There...
214,Direct Patient Care Volunteer - Cook County,Capital Hospice and Palliative Care,"We are actively seeking caring and compassionate individuals to volunteer with us! As a direct patient care volunteer, you will truly..."
215,Administrative Volunteer - Oak Brook,Capital Hospice and Palliative Care,"We are actively seeking caring and compassionate individuals to volunteer with us! As an administrative volunteer, you will have the..."
216,"Office Assistance - Burr Ridge, IL",Seasons Hospice and Palliative Care- Illinois,Join our dynamic team of healthcare professionals who provide hospice care to patients and their families. You will work in an office...
217,No One Should Die Alone: Vigil Volunteers Needed,Seasons Hospice and Palliative Care- Illinois,Seasons Hospice and Palliative Care is looking for caring volunteers who would like to make a difference in the lives of people facing...
218,Animal Therapy: Friendly pet visits needed.,Seasons Hospice and Palliative Care- Illinois,Would you like to bring joy to patients and families going through the end-of-life experience? So many of us know the special bond we...
219,We NEED your ENERGY in our office!,Seasons Hospice and Palliative Care- Illinois,Seasons Hospice and Palliative Care: Join our dynamic team of healthcare professionals who provide hospice care to patients and families....
220,Compassionate Volunteers Needed: To provide companionship and supportive presence.,Seasons Hospice and Palliative Care- Illinois,We need caring volunteers who would like to make a difference in the lives of people facing the end of their life. Our volunteers are...
221,Hospice Vigil Volunteers Needed,Heartland Hospice,Our number one goal at Heartland Hospice is to ensure no one dies alone. A hospice Vigil Volunteer is one of Heartland's most special and...
222,The last good thing that may happen in a person's life is a hospice volunteer,Heartland Hospice,Volunteers are the HEART of Heartland Hospice! We are looking for special individuals who live in South Holland and surrounding...
223,Direct Patient Care Volunteer - DuPage County,Capital Hospice and Palliative Care,"We are actively seeking caring and compassionate individuals to volunteer with us! As a direct patient care volunteer, you will truly..."
224,Advocate Good Samaritan Hospital - Various Positions,Advocate Good Samaritan Hospital,Volunteer at the Advocate Good Samaritan Hospital! There are a variety of locations and departments looking for enthusiastic volunteers!...
225,Daisy Basket Gift Shop Volunteer,Advocate Good Samaritan Hospital,The Daisy Basket is owned and operated by the Auxiliary of Advocate Good Samaritan hospital. All profits from the Daisy Basket store are...
226,Information Desk Volunteer (Advocate Good Samaritan hospital),Advocate Good Samaritan Hospital,Are you friendly? Do you like to help people? Do you like to be active? If so... Volunteering at the Information Desk is for YOU!! At the...
227,Emergency Department Eldercare Navigators (EDEN),CJE SeniorLife,Become a part of an exciting program to assist older adults in the Emergency Department of Glenbrook Hospital. Emergency Department...
228,Caring People Needed to Illuminate Hope (for hospice patients),Loyola Medicine Hospice,"Hospice patients are those individuals who have six or fewer months to live. Caregivers are people, either family or hired, who care for..."
229,Companion Volunteers-Hospice-Des Plaines,Transitions Hospice,Make a difference in the life of someone nearing the end of their journey. Hospice Volunteers needed to provide companionship and...
230,Companion Volunteer-Hospice-Orland Park,Transitions Hospice,Make a difference in the life of someone nearing the end of their journey. Hospice Volunteers needed to provide companionship and...
231,Senior Life - (Fridays),Ingalls Hospital,"Under the direct supervision of the Supervisor of Volunteer Services, the Senior Life Volunteer is responsible for performing various..."
232,Greeter / Information Desk,Ingalls Hospital,"Responsible for greeting and welcoming patients, family members, hospital staff, other volunteers and visitors in a service capacity...."
233,Information Desk,Ingalls Hospital,"Under the direct supervision of the Supervisor of Volunteer Services, the Information Desk Volunteer is responsible for greeting everyone..."
234,Massage Therapists needed,Wellness House,We are looking for massage therapists who would like to donate tune up or relaxation massages to our participants. We offer 45 minute...
235,Veterans serving Veterans - Chicagoland area & Suburbs,Heartland Hospice,Heartland Hospice is seeking Military Veteran Volunteers to visit with our Veteran patients in nursing communities or in their private...
236,Vigil Volunteers - Heartland Hospice,Heartland Hospice,Hospice Vigil Volunteers give support to patients and family members while a patient is actively dying. Often families need a break from...
237,"Companion Visitor - Aurora, Batavia, Geneva  and St. Charles area",Heartland Hospice,Are you a good listener? Are you looking to serve your community with purpose? Become a Heartland Volunteer! Our Volunteers are the heart...
238,"Companion Visitor- Glen Ellyn, Wheaton, Lombard",Heartland Hospice,Are you a good listener? Are you looking to serve your community with purpose? Become a Heartland Volunteer! Our Volunteers are the heart...
239,Oncology Salon Volunteer,Wellness House,Role Summary & Anticipated Outcome Wellness House envisions a community where all people affected by cancer thrive. Offered at no...
240,Customer Service Donation & Consignment Shop (Saturday),Wellness House,"Position for the Courtyard, a donation/consignment shop of fine home furnishings and accessories to benefit the Wellness House. The..."
241,Zumba Instructor,Meals on Wheels Foundation of Northern Illinois,Our Phoenix Cafe for Seniors is looking for a volunteer Zumba instructor to teach classes on site 2x per month! Who doesn't enjoy having...
242,Reception/Front Desk volunteer needed (Saturdays),Wellness House,The end goal of this position is to help provide participants with a stress free experience as they utilize the services offered at...
243,Yoga Instructors needed,Wellness House,Wellness House yoga volunteers are responsible for facilitating beginning mat or chair yoga classes for people affected by cancer....
244,"Administrative Volunteer Needed Weekdays - Heartland Hospice, (Westmont,IL)",Heartland Hospice,"Looking to gain work experience, or add to your CV? Our Administrative Volunteers usually volunteer 3-8 hours per week and are given a..."
245,Healing touch/Reiki therapists needed,Wellness House,Wellness House is looking for Healing Touch and Reiki therapists who would like to donate tune up and/or relaxation sessions to our...
246,Bereavement Support Volunteer,Rainbow Hospice and Palliative Care,"Professional Bereavement Volunteer: If you are working towards or have a professional social work or health related degree, professional..."
247,Delivering Medical Supplies to Countries in Need,Project C.U.R.E.,"Come help us prepare medical supplies for shipment to hospitals and clinics in need around the world. Tasks involve sorting, packing, and..."
248,Delivering Medical Supplies to Countries in Need,Project C.U.R.E.,"Come help us prepare medical supplies for shipment to hospitals and clinics in need around the world. Tasks involve sorting, packing, and..."
249,Delivering Medical Supplies to Countries in Need,Project C.U.R.E.,"Come help us prepare medical supplies for shipment to hospitals and clinics in need around the world. Tasks involve sorting, packing, and..."
250,Art Therapy or Artist Volunteer in Chicago Six County Area,Rainbow Hospice and Palliative Care,Art Therapy Patient Care: Rainbow Hospice and Palliative Care needs help to provide the loving comfort of professional art therapy for...
251,Make A Difference NOW! -Visit Hospice Patients in Your Community.,Providence Hospice,Friendly Visitor volunteers regularly visit hospice patients to offer comfort and support to them and their families. This is a special...
252,Make  A Difference NOW!- Visit Hospice Patients in your Community -(Homer Glen area),Providence Hospice,Friendly Visitor volunteers regularly visit hospice patients to offer comfort and support to them and their families. This is a special...
253,Office/Reception Volunteer in Mount Prospect,Rainbow Hospice and Palliative Care,Administrative volunteers provide critical support with the day-to-day workings of Rainbow Hospice and Palliative Care. These volunteers...
254,Lockport area Home Hospice Patient Support/Companion Volunteer,Rainbow Hospice and Palliative Care,"Work near your home! As a Hospice Patient Support/Companion Volunteer, you will be assigned to support a hospice patient and their family..."
255,Darien area Home Hospice Patient Support Volunteer/Companion,Rainbow Hospice and Palliative Care,"Work near your home! As a Field Patient Care Volunteer, you will be assigned to support a hospice patient and their family in your..."
256,Executive Assistant for VP - Chicago,Project C.U.R.E.,This key position is responsible for supporting Project C.U.R.E’s Vice President of Development and Philanthropy. Areas of focus:...
257,Use Your Clinical/Biomedical Engineering Background to Repair Medical Devices for...,Project C.U.R.E.,Help Project C.U.R.E. deliver life-saving medical supplies to hospitals and clinics in developing countries. You can partner with us to...
258,Deliver Health & Hope to Developing Countries by Helping in Our Warehouse,Project C.U.R.E.,Help Project C.U.R.E. deliver life-saving medical supplies to hospitals and clinics in developing countries. You can partner with us to...
259,Project C.U.R.E. Internships: Gain Professional Experience,Project C.U.R.E.,Project C.U.R.E. Internships: Gain Professional Experience While Delivering Health & Hope to Developing Countries Help Project C.U.R...
260,Deliver Health & Hope to Developing Countries by Becoming a Volunteer Leader,Project C.U.R.E.,Help Project C.U.R.E. deliver life-saving medical supplies to hospitals and clinics in developing countries. You can partner with us to...
261,Deliver Health & Hope to Developing Countries by Becoming a Volunteer Ambassador,Project C.U.R.E.,Help Project C.U.R.E. deliver life-saving medical supplies to hospitals and clinics in developing countries. You can partner with us to...
262,Use Your Medical Background Domestically to Help Those In Need Around the World,Project C.U.R.E.,Help Project C.U.R.E. deliver life-saving medical supplies to hospitals and clinics in developing countries. You can use your medical...
263,Use Your Engineering and Technical Background to Repair Medical Devices for Shipment,Project C.U.R.E.,Help Project C.U.R.E. deliver life-saving medical supplies to hospitals and clinics in developing countries. You can partner with us to...
264,Deliver Health & Hope to Developing Countries by Picking-Up Medical Supplies in the...,Project C.U.R.E.,Help Project C.U.R.E. deliver life-saving medical supplies to hospitals and clinics in developing countries. You can partner with us to...
265,Help Give Cancer Patients a Much-Needed Ride!,American Cancer Society,One of the biggest road blocks to cancer treatment can be lack of transportation. That's why the American Cancer Society Road To Recovery...
266,Veteran? Help Support Vets Facing Live-Threatening Disease,V Care Hospice Services of Illinois,No one understands what a soldier has experienced - except another soldier. For those of our patients who are veterans facing advanced...
267,Care Companion,LifeChoice Hospice & Palliative,"Do you want to make a difference in the lives of others? If so, we have an opportunity for you! LifeChoice Hospice & Palliative Care..."
268,Hospice Volunteer Needed - Covenant Village of Northbrook,CovenantCare Hospice,"Who We Are CovenantCare Hospice is part of the CovenantCare family of services that include home health care, private duty assistance,..."
269,Bi-lingual Men & Women are needed to visit Hospice Patients!,Heartland Hospice,"Do you read, speak, and understand English? Do you, also, speak and understand another Language? Heartland Hospice seeks Bi-lingual..."
270,"Hospice Volunteers needed in Arlington Heights, Illinois!",Heartland Hospice,"BECOME A HOSPICE VOLUNTEER -AND- SHARE THE BEST GIFT YOU CAN GIVE... YOURSELF! Heartland Hospice ""Friendly Visitors"" help to..."
271,Hospice Seeks Music Volunteer - Covenant Village of Northbrook,CovenantCare Hospice,The gift of music can help ease the journey of those with life-limiting illness. If you play a portable instrument and are willing to...
272,Become a Vigil Volunteer & Make A Difference!,Heartland Hospice,Do you desire to have a Career in the Medical Field? Do you consider it significant or an honor to support the Patient and Loved Ones...
273,"Retired, Professional, & Skilled Individuals needed as Hospice Volunteers!",Heartland Hospice,"Pleasant Greetings: Thank you for your interest in serving our Hospice Patients and Families. At Heartland Hospice, we help to enrich..."
274,Hospice seeking individuals with therapy dogs - Covenant Village of Northbrook,CovenantCare Hospice,Share the joy of registered therapy dogs with patients living with life-limiting illness. Comprehensive training prepares you to visit...
275,Had a good experience with Hospice?  Be a Volunteer!,Heartland Hospice,"Pleasant Greetings: Did you or someone you love have a positive experience with Hospice? Has it been, at least, 12 Months and you..."
276,Want a Career in Medicine? Gain valuable experience as a Hospice Volunteer!,Heartland Hospice,"ATTENTION, Students and Graduates: Do you want a Career in the Medical Field? Do you dream of being a Physician, Nurse, Therapist, etc.?..."
277,Therapy & Comfort Dogs needed to visit with Patients,Heartland Hospice,YOU & YOUR DOG ARE NEEDED! BECOME A HOSPICE VOLUNTEER and SHARE THE BEST GIFT YOU CAN GIVE... YOURSELF & YOUR THERAPY / COMFORT...
278,Be the difference in a Patient's Life!,Heartland Hospice,You matter...and so do our Patients and Families! You want to make a positive difference in the Community! Become a Heartland Hospice...
279,Team Care Coordinator Assist- Arlington Heights,JourneyCare,"Who is JourneyCare? The largest nonprofit provider of palliative, and supportive care in Illinois, JourneyCare serves nearly 4,000 adult..."
280,Hospice CareCenter Volunteer - Arlington Heights,JourneyCare,No experience necessary! Volunteer in your community and set your own schedule! JourneyCare is looking for volunteers to serve at our...
281,Greeter - Calumet City,Ingalls Hospital,"Under the direct supervision of the Concierge of the Medical Office Building, the Greeter Volunteer is responsible for cheerfully..."
282,Clerical - Calumet City,Ingalls Hospital,"Under the direct supervision of the Administrative Assistant for the Ingalls Family Care Center, the Clerical Volunteer is responsible..."
283,"Patient Visit Volunteer and Friend in Wheeling, Lincolnshire Area","KINDRED HOSPICE, formerly Gentiva Hospice",There are few volunteer service experiences which provide the opportunity for grace and illumination like providing support to a hospice...
284,"Patient Visit Volunteer and Friend in Northbrook, Highland Park, Glenview Area","KINDRED HOSPICE, formerly Gentiva Hospice",Kindred Hospice is seeking volunteers to provide companionship and support to patients with life-limiting illnesses and their families in...
285,Marketing and Communications Internship in Chicago,Project C.U.R.E.,"Number of Openings: 5 Dates: Start ASAP; minimum one semester commitment Location: Project C.U.R.E. Chicago 10305 Argonne Dr., Suite 200..."
286,Vigil Volunteers-Hospice-Buffalo Grove,Transitions Hospice,Vigil volunteers provide a calm presence and support at the bedside of hospice patients in their final days and hours. Participation in...
287,Companion Volunteer-Hospice-Buffalo Grove,Transitions Hospice,Make a difference in the life of someone nearing the end of their journey. Hospice Volunteers needed to provide companionship and...
288,Deliver Health & Hope to Developing Countries by Helping with Office Administration,Project C.U.R.E.,Help Project C.U.R.E. deliver life-saving medical supplies to hospitals and clinics in developing countries. You can partner with us to...
289,Help Deliver Health & Hope to Developing Countries by Sorting Medical Supplies,Project C.U.R.E.,Help Project C.U.R.E. deliver life-saving medical supplies to hospitals and clinics in developing countries. You can partner with us to...
0,"Let me crash on your couch... please? - Chicago, IL",ARFS GERMAN SHEPHERD INC,Loaning an animal your couch can save their life! - Every 16 seconds an animal is euthanized simply due to overpopulation.Shelters do not...
1,Service Day Afternoon Volunteer- Downtown,CHICAGO BRIDGE PROJECT,"On the SECOND Saturday of the month we gather in Logan Square and prepare food, clothing and other comfort items to share with our..."
2,Strategic Management & Business Development Intern (Master's),AIDS Foundation of Chicago,The AIDS Foundation of Chicago (AFC) is seeking a responsible and motivated individual to intern in its Strategy & Business...
3,Strategic Management & Business Development Intern (Bachelor's),AIDS Foundation of Chicago,The AIDS Foundation of Chicago (AFC) is seeking a responsible and motivated individual to intern in its Strategy & Business...
4,Passionate Associate Board Members Wanted!,Street Samaritans,"Hello, We're looking for energetic, passionate and motivated individuals in the Chicagoland area to join our Associate Board. We believe..."
5,Family Support Coordinator (1700 hour AmeriCorps),Chicago HOPES for Kids,Chicago HOPES for Kids provides shelter-based academic support for children in Chicago's homeless and domestic violence shelters. We run...
6,Volunteer Coordinator (1700 hour AmeriCorps member),Chicago HOPES for Kids,Chicago HOPES for Kids provides shelter-based academic support for children in Chicago's homeless and domestic violence shelters. We run...
7,Program Coordinator (1700 hour AmeriCorps member),Chicago HOPES for Kids,Chicago HOPES for Kids provides shelter-based academic support for children in Chicago's homeless and domestic violence shelters. We run...
8,"Let me crash on your couch...please? - Chicago, IL",LAURAS HOPE RESCUE,Loaning an animal your couch can save their life! - Every 16 seconds an animal is euthanized simply due to overpopulation. Shelters do...
9,Crisis Line Volunteer,National Runaway Safeline,"Did you know every year 4.2 million youth experience homelessness? Just last year, 1 out of 30 youth ages 13-17 were affected. National..."
10,Outreach Coordinator (1700 hour AmeriCorps State),Chicago HOPES for Kids,Chicago HOPES for Kids provides shelter-based academic support for children in Chicago's homeless and domestic violence shelters. We run...
11,Care for Friends Fundraiser Power Hope,Care For Friends,"Care for friends annual fall fundraiser, Power Hope, is coming up on Thursday, November 14th from 5-11pm, and it is going to be a blast!..."
12,Candlelight Vigil and Sleep Out: Chicago 2019,Covenant House Illinois,Spend one evening getting to know some of the youth whose lives will be better because of your work - and spend the rest of the night...
13,"Cook a meal for the homeless, Streeterville/Gold Coast, flexible shift times.",Chicago Fun Volunteers,"No need to wait for a reply, you can just show up and start helping. Join Fight2Feed as we help cook and feed 150+ meals for the homeless..."
14,Fresh Market Volunteer,La Casa Norte,"Nutrition Center Fresh Market Volunteer ""La Casa Norte’s mission is to serve youth and families confronting homelessness. We..."
15,Community Cafe,La Casa Norte,"Join us for a free and healthy meal in community prepared by our professional chef, Martin Ashton (Lakeview Pantry). Our Community Café..."
16,Clothing Closet Assistant,La Casa Norte,"Title: Emergency Clothing Closet Assistant ""La Casa Norte’s mission is to serve youth and families confronting homelessness...."
17,Join Our Associate Board,The Boulevard: The Road to Health and Home,"Join the Associate Board of The Boulevard! The Associate Board helps the organization in two main ways:(1) hosting fun, energetic social..."
18,Plan and Lead an Art Group for Adults!,The Boulevard: The Road to Health and Home,"What You Can Do: We could use volunteers to facilitate an on-going ""Art Expression Group"". This group encourages The Boulevard..."
19,In a Musical Group or Congregation Ensemble?,The Boulevard: The Road to Health and Home,What You Can Do: The Boulevard--Illinois’ only provider of medical respite housing for ill and injured homeless adults--is always...
20,Housing Location Specialist,La Casa Norte,"""La Casa Norte’s mission is to serve youth and families confronting homelessness. We provide access to stable housing and..."
21,The World's Big Sleep Out Chicago,The World's Big Sleep Out,"On December 7, 2019, you're invited to join The World's Big Sleep Out to sleep outside, overnight on DePaul University’s quad in..."
22,Soup Kitchen and Food Pantry Volunteer,St Vincent de Paul Food Pantry and Soup Kitchen,"The Elizabeth Ann Seton Food Pantry and Sandwich Window began in 1980, handing out coffee and sandwiches to patrons on our front porch...."
23,Pantry Volunteers! Help us reach over a Thousand Households a Month!,Marillac St. Vincent Family Services,"Our pantry serves well over 200 households and over 10,000 pounds of food per week while providing our clients the opportunity to choose..."
24,Care for Friend's Day of Service - Corporate Thursdays,Care For Friends,Greetings! Care for Friends is seeking groups to volunteer for a day of service on our weekly Corporate Thursdays. What exactly does this...
25,Love to cook? Prepare a meal for up to 100 people with your colleagues or friends,Care For Friends,We are seeking volunteer teams and individuals to prepare and serve a hot meal on a final Saturday of the month or to fill in for a...
26,Case Manager,Above and Beyond family Recovery Center,Above and Beyond Family Recovery Center provides free counseling services to one of the most under-served communities in Chicago. Our...
27,Story Capturing Mentor,Above and Beyond family Recovery Center,Above and Beyond Family Recovery Center provides FREE counseling service to the most under-served substance abusing populations in...
28,PC Support Technician,Above and Beyond family Recovery Center,Above and Beyond Family Recovery Center provides FREE counseling service to the most under-served substance abusing populations in...
29,Volunteer WIX Website Designer,"Renaissance Social Services, Inc.",Renaissance Social Services is looking for an individual with WIX website design experience to assist was with updating and making our...
30,Event Supporter,Above and Beyond family Recovery Center,Above and Beyond Family Recovery Center provides FREE counseling service to the most under-served substance abusing populations in...
31,Green-Thumbed Gardener,Above and Beyond family Recovery Center,Above and Beyond Family Recovery Center is searching for competent and reliable gardeners to maintain our facility’s community...
32,Furniture Repair Person,Above and Beyond family Recovery Center,"Addiction does not have to be ugly, even when the populations we serve are homeless, poverty-stricken, and incarceration experienced. In..."
33,Office Assistant,Above and Beyond family Recovery Center,"Above and Beyond is looking for a reliable, organized Office Assistant to manage the day-to-day administrative aspects of our recovery..."
34,LCPC,Above and Beyond family Recovery Center,"Above and Beyond is looking for LCPC Counselors, either retired or in-between employers, who would like to give of themselves to help the..."
35,Join Deborah's Place Hosting Committee,Deborah's Place,Join Deborah’s Place 2019 Opening Doors Host Committee. As we plan our 35th Opening Doors Benefit for a spectacular night of...
36,Recruiting people for Rescuing Leftover Cuisine's Chicago branch leadership team!,Rescuing Leftover Cuisine Inc,"RLC is opening a branch in Chicago, IL, and we are recruiting people who are interested to be a member of the Chicago Branch's core team...."
37,Make a Difference by Mentoring Youth in North Lawndale,Chicago HOPES for Kids,"Did you know that approximately 18,000 Chicago Public School students were identified as homeless during the 2016-2017 academic school..."
38,Social Media Intern,Metropolitan Tenants Organization,"The mission of the Metropolitan Tenants Organization (MTO) is to educate, organize and empower tenants to have a voice in the decisions..."
39,Volunteers Needed for Footcare Clinic,Care For Friends,Foot Clinic is a service offered on the third Saturday and last Monday of every month from 10am-12pm. People experiencing homelessness...
40,Healthy Living Skills Facilitator,The Boulevard: The Road to Health and Home,Purpose: The overall goal is to equip residents with the knowledge and skills to be able to manage their own lives in a healthy and...
41,Lead a Women's Discussion Group,The Boulevard: The Road to Health and Home,What You Can Do: We would love for female volunteers to help facilitate a discussion group for women who live in our transitional housing...
42,Men's Discussion Group Facilitator,The Boulevard: The Road to Health and Home,"Once a week, the male and female residents attend two separate sessions: The Men's Group and The Women's Group. The Men's Group: The..."
43,Share-A-Meal Event (SAM),The Boulevard: The Road to Health and Home,This is our most popular group activity at The Boulevard! http://www.blvd.org Our Share-a-Meal (SAM) program offers the opportunity for a...
44,Donation Drives,The Boulevard: The Road to Health and Home,"Help the residents of The Boulevard with their recovery by hosting a doantion drive! Get your church, school or organzation involved and..."
45,Looking to join a Board of Directors?,The Boulevard: The Road to Health and Home,"Are you interested in providing your professional expertise to reduce homelessness in Chicago? Founded in 1994, The Boulevard of Chicago..."
46,Healthcare Clinic Volunteer - Healthcare Experience Needed,Care For Friends,The Care for Friends Healthcare clinic is a service offered on the 2nd Saturday of every month. Health issues and lack of healthcare...
47,EDUCATE Tutor,Casa Central,La Posada’s main goal is to restore families who are experiencing homelessness to stable and permanent living situations by...
48,Political Affairs Internship,The Borgen Project,"The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. This is a..."
49,Front Desk Volunteer,New Moms,"New Moms is a nonprofit headquartered on the west side, serving the Chicago metropolitan area. We work to interrupt the generational..."
50,Service Day Transportation Volunteer,CHICAGO BRIDGE PROJECT,"On the SECOND Saturday of the month we gather in Logan Square and prepare food, clothing and other comfort items to share with our..."
51,Service Day Morning Volunteer,CHICAGO BRIDGE PROJECT,"On the second Saturday of the month we gather in Logan Square and prepare food, clothing and other comfort items to share with our..."
52,Service Day Afternoon Volunteer- Garfield Park,CHICAGO BRIDGE PROJECT,"On the SECOND Saturday of the month we gather in Logan Square and prepare food, clothing and other comfort items to share with our..."
53,"Moving Volunteers, Painters, Laying tile, Cleaning, Pulling up carpet, etc.",SisterHouse,SisterHouse is seeking volunteers to assist in covering overnight weekday & weekend shifts.
54,Be a Friend - Become a Safe House Hostess,WINGS Program,"The WINGS domestic violence Safe House has capacity for up to 45 women and children a night. In addition to shelter, we provide..."
55,IVC Seeks Active Seniors for the Chicago Area,Ignatian Volunteer Corps,"Active Senior? Eager to ""give something back?"" The Ignatian Volunteer Corps is accepting volunteers (age 50 ) to work with the..."
56,Safe House Kids Group Assistant - Chicago Metro,WINGS Program,"Title : Kid’s Group Assistant Location: WINGS Domestic Violence Safe House, which is in an undisclosed location in the South..."
57,Safe House Lobby Volunteer - Chicago Metro,WINGS Program,Description: - Ensure the safety of the Safe House by allowing only appropriate people to enter the Safe House. Lobby volunteer utilizes...
58,Chicago birthday enthusiasts needed!!,The Birthday Party Project,Come help us spread JOY!!! We throw MAGICAL birthday parties for the kids at the Primo Center for Women and Children on the 3rd Sunday of...
59,Cooking Instructor Volunteer,Sarah's Circle,We are looking for one volunteer to help out in our kitchen once a month by leading a cooking class with our clients. Food prepared will...
60,"Help meet the most immediate needs of homeless women, be a program volunteer!",Sarah's Circle,Description Assist program staff in meeting the most immediate needs of clients by: Greeting everyone who enters the facility and...
61,Lunch Provider Team,Housing Forward,LUNCH TEAM (up to 5 people) Housing Forward is seeking individuals or a small group to provide lunch service to our shelter clients at...
62,2nd Shift Volunteer Team - Overnight (10:30pm - 5:00am),Housing Forward,Team of 2 Individuals Overnight Team: 10:30pm - 2:00am and 2:00am - 5:30am Overnight Shelter 2nd Shift Responsibilities: Site Security...
63,3rd Shift Site Captain,Housing Forward,"5:00 AM to 7:30 AM once a week through May, 2019 Volunteer responsibilities: Coordinate and oversee both breakfast and 3rd shift..."
64,1st Shift Volunteer Team  (6:30 pm - 10:30 pm),Housing Forward,Volunteer team (Minimum of 4 individuals) *Teams can sign up for more than one date Volunteers in the Shelter will work cooperatively...
65,3rd Shift Volunteer Team,Housing Forward,Third shift (Morning) team of 4 individuals needed to support our shelter morning operations once a week. *Teams are welcome to sign up...
66,Breakfast Provider Team,Housing Forward,BREAKFAST TEAM (minimum of 4 people) Housing Forward is seeking teams of at least 4 individuals to provide breakfast service to our...
67,Warehouse Assistants,Habitat for Humanity Chicago ReStore,"Assisting Habitat team with processing of donations, cleaning and testing items. Other tasks as needed."
68,Volunteer Grant Writers Needed,OPEN ARMS MINISTRY,"Position: Grant Writer Open Arms is actively recruiting volunteers who are passionate about combating poverty, championing at-risk..."
69,Marketing & Communications Volunteers Needed,OPEN ARMS MINISTRY,Role: Marketing and Communications Committee Member Mission: Open Arms Ministry supports and partners with those struggling with...
70,Philanthropy Managers,OPEN ARMS MINISTRY,"Position: Philanthropy Manager Open Arms is actively recruiting volunteers who are passionate about combating poverty, championing..."
71,Homeless Drop In Support Needed,OPEN ARMS MINISTRY,Role: Drop-In Support Mission: Open Arms Drop-In provides basic relief services to individuals struggling with homelessness or at risk of...
72,Make a Difference by Mentoring Youth in Englewood,Chicago HOPES for Kids,"Did you know that approximately 18,000 Chicago Public School students were identified as homeless during the 2016-2017 academic school..."
73,Volunteer with The Salvation Army's Social Services Help Desk,The Salvation Army Metro Chicago,Do you want to help others? The Salvation Army is looking for a compassionate and detail-minded volunteer who is comfortable talking with...
74,Lakeview Pantry Receptionists Needed!,Lakeview Pantry,Receptionists Volunteer Opportunity Thank you for your interest in volunteering with Lakeview Pantry. Lakeview Pantry sees thousands of...
75,Pick up donations for local food pantry!,Lakeview Pantry,We are looking for dedicated volunteers to help us out at Lakeview Pantry. Our volunteers can drive or assist in our cargo van to pick up...
76,Provide A Meal for Women in Our Shelter,Sarah's Circle,"Volunteers can help support the women of Sarah's Circle by providing a nutritious and tasty, ready to serve or pre-cooked breakfast,..."
77,Support the Sarah's Circle Kitchen Staff!,Sarah's Circle,The Daytime Support Center at Sarah's Circle is looking for volunteers to help in our kitchen during the breakfast and lunch hours. We...
78,Associates Board Member,Sarah's Circle,The needs of homeless women in Chicago are significant and increasing. The 2015 City of Chicago point-in-time count of homelessness...
79,Volunteer Oppertunties for Northwestern wildcats,L.E.M.O.N.S.,"Attention excited Wildcat fans, supporters and good Samaritans! Volunteers needed for this years Wildcat home games ."
80,Homeless Shelter Site Volunteers-LaGrange Area,BEDS PLUS Inc.,Site Volunteers* Work a shelter shift once a month (October 1--May 15) Available shifts are: 1st 6:30 pm to 11:00 pm 2nd 11:00 pm to 3:00...
